"","soc_code","soc_lmi_title","employment","projected_2030","change_employment","percent_change","annual_openings_growth","exits","transfers","total_openings","median_wage","median_wage_symbol","jobsohioregion"
"30","11-9141","Property, Real Estate, and Community Association Managers","4735",4676,-59,-0.0125,-6,179,178,351,"23.91",NA,"Northeast"
"31","11-9151","Social and Community Service Managers","1939",2150,211,0.1088,21,61,110,192,"30.55",NA,"Northeast"
"32","11-9171","Funeral Home Managers","198",199,1,0.0051,0,5,10,15,"36.83",NA,"Northeast"
"33","11-9198","Personal Service Managers; Entertainment & Recreation Managers, Except Gambling; and Managers, All Other","4900",5134,234,0.0478,23,116,246,385,"59.93","^^^","Northeast"
"34","13-0000","Business and Financial Operations Occupations","111102",116587,5485,0.0494,548,2987,6689,10224,"30.63",NA,"Northeast"
"35","13-1020","Buyers and Purchasing Agents","6010",5598,-412,-0.0686,-41,197,372,528,"29.85",NA,"Northeast"
"36","13-1031","Claims Adjusters, Examiners, and Investigators","4485",4218,-267,-0.0595,-27,102,226,301,"31.08",NA,"Northeast"
"37","13-1041","Compliance Officers","2870",3041,171,0.0596,17,71,157,245,"30.51",NA,"Northeast"
"38","13-1051","Cost Estimators","3032",2995,-37,-0.0122,-4,85,182,263,"30.37",NA,"Northeast"
"39","13-1071","Human Resources Specialists","9632",10477,845,0.0877,84,272,668,1024,"29.02",NA,"Northeast"
"40","13-1075","Labor Relations Specialists","1885",1725,-160,-0.0849,-16,49,120,153,"36.94",NA,"Northeast"
"41","13-1081","Logisticians","2209",2877,668,0.3024,67,53,165,285,"30.99",NA,"Northeast"
"42","13-1111","Management Analysts","8255",9046,791,0.0958,79,278,498,855,"38.25",NA,"Northeast"
"43","13-1121","Meeting, Convention, and Event Planners","1197",1314,117,0.0977,12,38,92,142,"23.24",NA,"Northeast"
"44","13-1131","Fundraisers","1736",1909,173,0.0997,17,57,116,190,"29.07",NA,"Northeast"
"45","13-1141","Compensation, Benefits, and Job Analysis Specialists","966",1049,83,0.0859,8,30,59,97,"29.82",NA,"Northeast"
"46","13-1151","Training and Development Specialists","4122",4414,292,0.0708,29,129,262,420,"24.37",NA,"Northeast"
"47","13-1161","Market Research Analysts and Marketing Specialists","9062",10539,1477,0.163,148,232,716,1096,"29.33",NA,"Northeast"
"48","13-1198","Project Management Specialists and Business Operations Specialists, All Other","17128",17714,586,0.0342,59,404,854,1317,"35.9","^^^","Northeast"
"49","13-2011","Accountants and Auditors","19043",19866,823,0.0432,82,542,1152,1776,"35.450000000000003",NA,"Northeast"
"50","13-2020","Property Appraisers and Assessors","339",340,1,0.0029,0,13,12,25,"30.46",NA,"Northeast"
"51","13-2031","Budget Analysts","341",353,12,0.0352,1,8,18,27,"37.03",NA,"Northeast"
"52","13-2041","Credit Analysts","1028",957,-71,-0.0691,-7,17,66,76,"37.14",NA,"Northeast"
"53","13-2052","Personal Financial Advisors","3852",3958,106,0.0275,11,88,192,291,"39.44",NA,"Northeast"
"54","13-2061","Financial Examiners","1389",1683,294,0.2117,29,41,71,141,"35",NA,"Northeast"
"55","13-2071","Credit Counselors","276",293,17,0.0616,2,6,16,24,"23.45",NA,"Northeast"
"56","13-2072","Loan Officers","3699",3603,-96,-0.026,-10,78,199,267,"29.96",NA,"Northeast"
"57","13-2081","Tax Examiners and Collectors, and Revenue Agents","198",194,-4,-0.0202,0,8,9,17,"27.66",NA,"Northeast"
"58","13-2082","Tax Preparers","839",845,6,0.0072,1,46,46,93,"15.53",NA,"Northeast"
"59","13-2098","Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other","4915",5112,197,0.0401,20,88,286,394,"35.21","^^^","Northeast"
"60","15-0000","Computer and Mathematical Occupations","53153",58874,5721,0.1076,572,1153,2765,4490,"38.200000000000003",NA,"Northeast"
"61","15-1211","Computer Systems Analysts","9145",9741,596,0.0652,60,184,465,709,"45.66",NA,"Northeast"
"62","15-1212","Information Security Analysts","1144",1477,333,0.2911,33,20,72,125,"47.62",NA,"Northeast"
"63","15-1231","Computer Network Support Specialists","2691",2831,140,0.052,14,52,146,212,"29.02",NA,"Northeast"
"64","15-1232","Computer User Support Specialists","6889",7371,482,0.07,48,134,377,559,"23.1",NA,"Northeast"
"65","15-1241","Computer Network Architects","1768",1790,22,0.0124,2,24,81,107,"49.57",NA,"Northeast"
"66","15-1244","Network and Computer Systems Administrators","4221",4252,31,0.0073,3,71,200,274,"38.270000000000003",NA,"Northeast"
"67","15-1245","Database Administrators and Architects","1463",1543,80,0.0547,8,35,74,117,"47.44","^^^","Northeast"
"68","15-1251","Computer Programmers","1477",1305,-172,-0.1165,-17,28,64,75,"30.22",NA,"Northeast"
"69","15-1256","Software Developers and Software Quality Assurance Analysts and Testers","16852",20011,3159,0.1875,316,427,904,1647,"49.49","^^^","Northeast"
"70","15-1257","Web Developers and Digital Interface Designers","1599",1739,140,0.0876,14,39,82,135,"49.49","^^^","Northeast"
"71","15-1299","Computer Occupations, All Other","3244",3480,236,0.0727,24,78,165,267,"42.7",NA,"Northeast"
"72","15-2031","Operations Research Analysts","1258",1557,299,0.2377,30,30,61,121,"38.25",NA,"Northeast"
"73","15-2098","Data Scientists and Mathematical Science Occupations, All Other","642",824,182,0.2835,18,15,37,70,"30.03","^^^","Northeast"
"74","17-0000","Architecture and Engineering Occupations","28796",30001,1205,0.0418,120,688,1379,2187,"37.380000000000003",NA,"Northeast"
"75","17-1011","Architects, Except Landscape and Naval","1046",1063,17,0.0163,2,29,45,76,"37.61",NA,"Northeast"
"76","17-1022","Surveyors","420",422,2,0.0048,0,14,21,35,"29.62",NA,"Northeast"
"77","17-2031","Biomedical Engineers","219",221,2,0.0091,0,5,9,14,"45.82",NA,"Northeast"
"78","17-2041","Chemical Engineers","453",495,42,0.0927,4,9,18,31,"47.76",NA,"Northeast"
"79","17-2051","Civil Engineers","2288",2428,140,0.0612,14,47,118,179,"38.520000000000003",NA,"Northeast"
"80","17-2061","Computer Hardware Engineers","256",258,2,0.0078,0,5,12,17,"47.6",NA,"Northeast"
"81","17-2071","Electrical Engineers","2301",2418,117,0.0508,12,56,94,162,"45.82",NA,"Northeast"
"82","17-2072","Electronics Engineers, Except Computer","681",694,13,0.0191,1,16,28,45,"45.84",NA,"Northeast"
"83","17-2081","Environmental Engineers","298",305,7,0.0235,1,7,15,23,"58.66",NA,"Northeast"
"84","17-2111","Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","181",195,14,0.0773,1,4,8,13,"46.68",NA,"Northeast"
"85","17-2112","Industrial Engineers","4348",4803,455,0.1046,46,100,183,329,"38.43",NA,"Northeast"
"86","17-2131","Materials Engineers","900",952,52,0.0578,5,19,36,60,"38.380000000000003",NA,"Northeast"
"87","17-2141","Mechanical Engineers","4838",5136,298,0.0616,30,86,205,321,"37.65",NA,"Northeast"
"88","17-2199","Engineers, All Other","1998",2044,46,0.023,5,43,83,131,"45.82",NA,"Northeast"
"89","17-3011","Architectural and Civil Drafters","858",850,-8,-0.0093,-1,26,54,79,"24.28",NA,"Northeast"
"90","17-3013","Mechanical Drafters","875",821,-54,-0.0617,-5,26,54,75,"28.69",NA,"Northeast"
"91","17-3022","Civil Engineering Technicians","493",485,-8,-0.0162,-1,15,30,44,"29.19",NA,"Northeast"
"92","17-3023","Electrical and Electronics Engineering Technicians","821",793,-28,-0.0341,-3,24,50,71,"30.94",NA,"Northeast"
"93","17-3025","Environmental Engineering Technicians","193",199,6,0.0311,1,6,12,19,"23.49",NA,"Northeast"
"94","17-3026","Industrial Engineering Technicians","1001",1024,23,0.023,2,30,62,94,"23.45",NA,"Northeast"
"95","17-3027","Mechanical Engineering Technicians","838",865,27,0.0322,3,26,52,81,"28.42",NA,"Northeast"
"96","17-3031","Surveying and Mapping Technicians","334",332,-2,-0.006,0,12,29,41,"22.78",NA,"Northeast"
"97","17-3098","Calibration and Engineering Technologists and Technicians, Except Drafters, All Other","902",921,19,0.0211,2,27,56,85,"29.18","^^^","Northeast"
"98","19-0000","Life, Physical, and Social Science Occupations","13938",14849,911,0.0654,91,303,998,1392,"30.9",NA,"Northeast"
"99","19-1012","Food Scientists and Technologists","442",465,23,0.052,2,10,38,50,"45.22",NA,"Northeast"
"100","19-1023","Zoologists and Wildlife Biologists","107",117,10,0.0935,1,2,8,11,"30.65",NA,"Northeast"
"101","19-1031","Conservation Scientists","319",329,10,0.0313,1,6,23,30,"22.87",NA,"Northeast"
"102","19-1042","Medical Scientists, Except Epidemiologists","1724",1970,246,0.1427,25,24,106,155,"38.229999999999997",NA,"Northeast"
"103","19-2031","Chemists","1223",1294,71,0.0581,7,18,94,119,"37.24",NA,"Northeast"
"104","19-2032","Materials Scientists","109",113,4,0.0367,0,2,8,10,"45.57",NA,"Northeast"
"105","19-2041","Environmental Scientists and Specialists, Including Health","567",598,31,0.0547,3,10,46,59,"30.89",NA,"Northeast"
"106","19-3031","Clinical, Counseling, and School Psychologists","1641",1758,117,0.0713,12,44,66,122,"38.96","^^^","Northeast"
"107","19-3039","Psychologists, All Other","432",431,-1,-0.0023,0,11,17,28,"50.77",NA,"Northeast"
"108","19-3051","Urban and Regional Planners","314",323,9,0.0287,1,5,22,28,"31.2",NA,"Northeast"
"109","19-3099","Social Scientists and Related Workers, All Other","204",219,15,0.0735,2,5,14,21,"38.86",NA,"Northeast"
"110","19-4021","Biological Technicians","1545",1688,143,0.0926,14,38,162,214,"23.84",NA,"Northeast"
"111","19-4031","Chemical Technicians","997",1018,21,0.0211,2,18,91,111,"23.54",NA,"Northeast"
"112","19-4042","Environmental Science and Protection Technicians, Including Health","407",441,34,0.0835,3,11,40,54,"22.91",NA,"Northeast"
"113","19-4061","Social Science Research Assistants","187",197,10,0.0535,1,5,18,24,"27.82",NA,"Northeast"
"114","19-4092","Forensic Science Technicians","178",197,19,0.1067,2,5,18,25,"29.89",NA,"Northeast"
"115","19-4099","Life, Physical, and Social Science Technicians, All Other","452",477,25,0.0553,2,12,44,58,"23.46",NA,"Northeast"
"116","19-5011","Occupational Health and Safety Specialists","1397",1441,44,0.0315,4,39,61,104,"37.39",NA,"Northeast"
"117","19-5012","Occupational Health and Safety Technicians","232",244,12,0.0517,1,6,10,17,"23.39",NA,"Northeast"
"118","21-0000","Community and Social Service Occupations","36513",39934,3421,0.0937,342,1297,2458,4097,"22.9",NA,"Northeast"
"119","21-1012","Educational, Guidance, School, and Vocational Counselors","4060",4404,344,0.0847,34,138,251,423,"29.24",NA,"Northeast"
"120","21-1013","Marriage and Family Therapists","103",110,7,0.068,1,4,6,11,"24.93",NA,"Northeast"
"121","21-1015","Rehabilitation Counselors","1574",1782,208,0.1321,21,55,99,175,"18.510000000000002",NA,"Northeast"
"122","21-1018","Substance Abuse, Behavioral Disorder, and Mental Health Counselors","3473",4031,558,0.1607,56,122,222,400,"22.62",NA,"Northeast"
"123","21-1021","Child, Family, and School Social Workers","4775",5194,419,0.0877,42,140,315,497,"22.95",NA,"Northeast"
"124","21-1022","Healthcare Social Workers","2353",2475,122,0.0518,12,68,152,232,"29.03",NA,"Northeast"
"125","21-1023","Mental Health and Substance Abuse Social Workers","2547",2884,337,0.1323,34,76,172,282,"22.18",NA,"Northeast"
"126","21-1029","Social Workers, All Other","1508",1612,104,0.069,10,44,99,153,"26.76",NA,"Northeast"
"127","21-1091","Health Educators","964",998,34,0.0353,3,33,68,104,"29.19",NA,"Northeast"
"128","21-1092","Probation Officers and Correctional Treatment Specialists","947",952,5,0.0053,0,21,57,78,"24.03",NA,"Northeast"
"129","21-1093","Social and Human Service Assistants","6700",7390,690,0.103,69,281,532,882,"17.690000000000001",NA,"Northeast"
"130","21-1094","Community Health Workers","746",853,107,0.1434,11,27,55,93,"18.440000000000001",NA,"Northeast"
"131","21-1099","Community and Social Service Specialists, All Other","697",758,61,0.0875,6,25,50,81,"22.97",NA,"Northeast"
"132","21-2011","Clergy","4606",4931,325,0.0706,32,196,275,503,"23.73",NA,"Northeast"
"133","23-0000","Legal Occupations","16215",17332,1117,0.0689,112,474,687,1273,"36.21",NA,"Northeast"
"134","23-1011","Lawyers","8469",9097,628,0.0742,63,190,216,469,"49.3",NA,"Northeast"
"135","23-1012","Judicial Law Clerks","113",114,1,0.0088,0,4,4,8,"23.5",NA,"Northeast"
"136","23-1021","Administrative Law Judges, Adjudicators, and Hearing Officers","208",209,1,0.0048,0,4,5,9,"55.39",NA,"Northeast"
"137","23-1022","Arbitrators, Mediators, and Conciliators","145",157,12,0.0828,1,3,4,8,"31.43",NA,"Northeast"
"138","23-1023","Judges, Magistrate Judges, and Magistrates","895",899,4,0.0045,0,19,22,41,"47.93",NA,"Northeast"
"139","23-2011","Paralegals and Legal Assistants","5094",5590,496,0.0974,50,207,361,618,"22.65",NA,"Northeast"
"140","23-2093","Title Examiners, Abstractors, and Searchers","868",850,-18,-0.0207,-2,31,50,79,"23.52",NA,"Northeast"
"141","25-0000","Education, Training, and Library Occupations","102995",109952,6957,0.0675,696,4109,4756,9561,"29.24",NA,"Northeast"
"142","25-1011","Business Teachers, Postsecondary","924",954,30,0.0325,3,42,44,89,"72829","**","Northeast"
"143","25-1021","Computer Science Teachers, Postsecondary","278",286,8,0.0288,1,13,13,27,"79927","**","Northeast"
"144","25-1022","Mathematical Science Teachers, Postsecondary","495",513,18,0.0364,2,22,24,48,"76191","**","Northeast"
"145","25-1042","Biological Science Teachers, Postsecondary","444",486,42,0.0946,4,21,22,47,"64388","**","Northeast"
"146","25-1052","Chemistry Teachers, Postsecondary","244",254,10,0.041,1,11,12,24,"77449","**","Northeast"
"147","25-1054","Physics Teachers, Postsecondary","156",162,6,0.0385,1,7,7,15,"76584","**","Northeast"
"148","25-1063","Economics Teachers, Postsecondary","182",191,9,0.0495,1,8,9,18,"76751","**","Northeast"
"149","25-1065","Political Science Teachers, Postsecondary","143",151,8,0.0559,1,7,7,15,"77629","**","Northeast"
"150","25-1066","Psychology Teachers, Postsecondary","415",444,29,0.0699,3,19,20,42,"77629","**","Northeast"
"151","25-1067","Sociology Teachers, Postsecondary","160",167,7,0.0438,1,7,8,16,"77629","**","Northeast"
"152","25-1071","Health Specialties Teachers, Postsecondary","908",1068,160,0.1762,16,44,46,106,"158455","**","Northeast"
"153","25-1072","Nursing Instructors and Teachers, Postsecondary","1028",1221,193,0.1877,19,50,52,121,"74354","**","Northeast"
"154","25-1081","Education Teachers, Postsecondary","730",763,33,0.0452,3,33,35,71,"61380","**","Northeast"
"155","25-1111","Criminal Justice and Law Enforcement Teachers, Postsecondary","268",291,23,0.0858,2,12,13,27,"61221","**","Northeast"
"156","25-1113","Social Work Teachers, Postsecondary","174",181,7,0.0402,1,8,8,17,"77629","**","Northeast"
"157","25-1121","Art, Drama, and Music Teachers, Postsecondary","1453",1580,127,0.0874,13,68,71,152,"63200","**","Northeast"
"158","25-1122","Communications Teachers, Postsecondary","335",350,15,0.0448,2,15,16,33,"64266","**","Northeast"
"159","25-1123","English Language and Literature Teachers, Postsecondary","685",711,26,0.038,3,31,33,67,"62072","**","Northeast"
"160","25-1124","Foreign Language and Literature Teachers, Postsecondary","332",346,14,0.0422,1,15,16,32,"63742","**","Northeast"
"161","25-1125","History Teachers, Postsecondary","227",238,11,0.0485,1,10,11,22,"77629","**","Northeast"
"162","25-1193","Recreation and Fitness Studies Teachers, Postsecondary","189",195,6,0.0317,1,9,9,19,"61380","**","Northeast"
"163","25-1194","Vocational Education Teachers, Postsecondary","1001",1044,43,0.043,4,46,48,98,"23.97",NA,"Northeast"
"164","25-1199","Postsecondary Teachers, All Other","1679",1667,-12,-0.0071,-1,75,78,152,"64645","**","Northeast"
"165","25-2011","Preschool Teachers, Except Special Education","4555",5395,840,0.1844,84,204,290,578,"13.86",NA,"Northeast"
"166","25-2012","Kindergarten Teachers, Except Special Education","892",948,56,0.0628,6,38,54,98,"60747","**","Northeast"
"167","25-2021","Elementary School Teachers, Except Special Education","19306",20255,949,0.0492,95,607,793,1495,"72279","**","Northeast"
"168","25-2022","Middle School Teachers, Except Special and Career/Technical Education","11176",11735,559,0.05,56,352,459,867,"75328","**","Northeast"
"169","25-2031","Secondary School Teachers, Except Special and Career/Technical Education","15709",16579,870,0.0554,87,428,655,1170,"76047","**","Northeast"
"170","25-2052","Special Education Teachers, Kindergarten and Elementary School","1973",2085,112,0.0568,11,66,81,158,"71956","**","Northeast"
"171","25-2057","Special Education Teachers, Middle School","1153",1210,57,0.0494,6,38,47,91,"62423","**","Northeast"
"172","25-2058","Special Education Teachers, Secondary School","2531",2686,155,0.0612,16,85,104,205,"62073","**","Northeast"
"173","25-2059","Special Education Teachers, All Other","245",279,34,0.1388,3,8,10,21,"48718","**","Northeast"
"174","25-3011","Adult Basic and Secondary Education and Literacy Teachers and Instructors","436",400,-36,-0.0826,-4,25,22,43,"24.1",NA,"Northeast"
"175","25-3021","Self-Enrichment Education Teachers","3511",4197,686,0.1954,69,230,206,505,"14.95",NA,"Northeast"
"176","25-3031","Substitute Teachers, Short-Term","1830",2003,173,0.0945,17,114,103,234,"14.01",NA,"Northeast"
"177","25-3097","Teachers and Instructors, All Other, Except Substitute Teachers","3424",3777,353,0.1031,35,215,193,443,"17.940000000000001","^^^","Northeast"
"178","25-4022","Librarians and Media Collections Specialists","1879",1959,80,0.0426,8,94,84,186,"23.98",NA,"Northeast"
"179","25-4031","Library Technicians","1236",1158,-78,-0.0631,-8,99,74,165,"17.47",NA,"Northeast"
"180","25-9031","Instructional Coordinators","1550",1648,98,0.0632,10,79,70,159,"30.61",NA,"Northeast"
"181","25-9045","Teaching Assistants, Except Postsecondary","14453",15427,974,0.0674,97,668,698,1463,"28929","**","Northeast"
"182","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","26003",27169,1166,0.0448,117,1046,1710,2873,"22.75",NA,"Northeast"
"183","27-1011","Art Directors","601",627,26,0.0433,3,30,32,65,"37.909999999999997",NA,"Northeast"
"184","27-1012","Craft Artists","126",108,-18,-0.1429,-2,6,6,10,"18.329999999999998",NA,"Northeast"
"185","27-1013","Fine Artists, Including Painters, Sculptors, and Illustrators","173",196,23,0.1329,2,9,10,21,"19.190000000000001",NA,"Northeast"
"186","27-1014","Multimedia Artists and Animators","137",140,3,0.0219,0,7,7,14,"28.7",NA,"Northeast"
"187","27-1021","Commercial and Industrial Designers","488",505,17,0.0348,2,15,30,47,"30.86",NA,"Northeast"
"188","27-1023","Floral Designers","628",482,-146,-0.2325,-15,17,33,35,"13.63",NA,"Northeast"
"189","27-1024","Graphic Designers","3361",3169,-192,-0.0571,-19,100,194,275,"23.51",NA,"Northeast"
"190","27-1025","Interior Designers","1033",1013,-20,-0.0194,-2,31,61,90,"23.64",NA,"Northeast"
"191","27-1026","Merchandise Displayers and Window Trimmers","1730",1716,-14,-0.0081,-1,53,102,154,"14.52",NA,"Northeast"
"192","27-1027","Set and Exhibit Designers","141",133,-8,-0.0567,-1,4,8,11,"25.2",NA,"Northeast"
"193","27-1029","Designers, All Other","124",118,-6,-0.0484,-1,4,7,10,"18.86",NA,"Northeast"
"194","27-2012","Producers and Directors","570",609,39,0.0684,4,13,37,54,"29.46",NA,"Northeast"
"195","27-2022","Coaches and Scouts","4734",5210,476,0.1005,48,282,400,730,"36962","**","Northeast"
"196","27-2041","Music Directors and Composers","578",619,41,0.0709,4,35,34,73,"24.06",NA,"Northeast"
"197","27-2042","Musicians and Singers","1565",1716,151,0.0965,15,96,92,203,"39.14",NA,"Northeast"
"198","27-2090","Miscellaneous Entertainers and Performers, Sports and Related Workers","222",295,73,0.3288,7,10,14,31,"17.59","^","Northeast"
"199","27-3011","Radio and Television Announcers","327",322,-5,-0.0153,0,13,18,31,"14.4",NA,"Northeast"
"200","27-3023","News Analysts, Reporters, and Journalists","659",651,-8,-0.0121,-1,19,50,68,"18.559999999999999",NA,"Northeast"
"201","27-3031","Public Relations Specialists","2300",2431,131,0.057,13,59,155,227,"29.79",NA,"Northeast"
"202","27-3041","Editors","728",701,-27,-0.0371,-3,23,45,65,"29.24",NA,"Northeast"
"203","27-3042","Technical Writers","391",425,34,0.087,3,11,25,39,"30.3",NA,"Northeast"
"204","27-3043","Writers and Authors","1070",1072,2,0.0019,0,43,59,102,"22.71",NA,"Northeast"
"205","27-3091","Interpreters and Translators","746",899,153,0.2051,15,32,45,92,"23.35",NA,"Northeast"
"206","27-4011","Audio and Video Equipment Technicians","606",715,109,0.1799,11,17,48,76,"21.68",NA,"Northeast"
"207","27-4012","Broadcast Technicians","250",253,3,0.012,0,7,18,25,"23.36",NA,"Northeast"
"208","27-4014","Sound Engineering Technicians","118",120,2,0.0169,0,3,9,12,"22.7",NA,"Northeast"
"209","27-4021","Photographers","1095",1215,120,0.1096,12,39,65,116,"18.21",NA,"Northeast"
"210","27-4098","Lighting Technicians and Media and Communication Equipment Workers, All Other","106",119,13,0.1226,1,3,8,12,"23.52","^^^","Northeast"
"211","29-0000","Healthcare Practitioners and Technical Occupations","142977",150554,7577,0.053,758,3744,4444,8946,"30.43",NA,"Northeast"
"212","29-1011","Chiropractors","820",822,2,0.0024,0,12,7,19,"29.11",NA,"Northeast"
"213","29-1021","Dentists, General","1399",1374,-25,-0.0179,-2,26,12,36,"78.92",NA,"Northeast"
"214","29-1031","Dietitians and Nutritionists","961",1004,43,0.0447,4,32,34,70,"29.4",NA,"Northeast"
"215","29-1041","Optometrists","435",433,-2,-0.0046,0,8,5,13,"48.7",NA,"Northeast"
"216","29-1051","Pharmacists","5148",4979,-169,-0.0328,-17,93,97,173,"61.72",NA,"Northeast"
"217","29-1071","Physician Assistants","2417",3065,648,0.2681,65,43,108,216,"49.67",NA,"Northeast"
"218","29-1081","Podiatrists","172",161,-11,-0.064,-1,4,7,10,"62.09",NA,"Northeast"
"219","29-1122","Occupational Therapists","2592",2877,285,0.11,28,59,89,176,"38.99",NA,"Northeast"
"220","29-1123","Physical Therapists","3815",4256,441,0.1156,44,80,84,208,"45.93",NA,"Northeast"
"221","29-1124","Radiation Therapists","226",238,12,0.0531,1,4,7,12,"38.4",NA,"Northeast"
"222","29-1125","Recreational Therapists","291",289,-2,-0.0069,0,9,13,22,"22.81",NA,"Northeast"
"223","29-1126","Respiratory Therapists","2645",3172,527,0.1992,53,62,73,188,"29.78",NA,"Northeast"
"224","29-1127","Speech-Language Pathologists","2362",2868,506,0.2142,51,61,94,206,"38.340000000000003",NA,"Northeast"
"225","29-1128","Exercise Physiologists","191",206,15,0.0785,2,6,7,15,"28.55",NA,"Northeast"
"226","29-1129","Therapists, All Other","151",164,13,0.0861,1,5,5,11,"28.42",NA,"Northeast"
"227","29-1131","Veterinarians","834",957,123,0.1475,12,14,14,40,"47.52",NA,"Northeast"
"228","29-1141","Registered Nurses","47492",49684,2192,0.0462,219,1296,1222,2737,"35.75",NA,"Northeast"
"229","29-1151","Nurse Anesthetists","1246",1275,29,0.0233,3,25,38,66,"81.260000000000005",NA,"Northeast"
"230","29-1171","Nurse Practitioners","3348",4685,1337,0.3993,134,84,126,344,"50.68",NA,"Northeast"
"231","29-1181","Audiologists","205",222,17,0.0829,2,5,4,11,"29.24",NA,"Northeast"
"232","29-1211","Anesthesiologists","428",403,-25,-0.0584,-2,7,5,10,"#",NA,"Northeast"
"233","29-1215","Family Medicine Physicians","612",597,-15,-0.0245,-2,10,7,15,"67.7",NA,"Northeast"
"234","29-1216","General Internal Medicine Physicians","817",722,-95,-0.1163,-10,12,9,11,"#",NA,"Northeast"
"235","29-1218","Obstetricians and Gynecologists","304",280,-24,-0.0789,-2,5,3,6,"#",NA,"Northeast"
"236","29-1292","Dental Hygienists","3536",3580,44,0.0124,4,128,89,221,"36.840000000000003",NA,"Northeast"
"237","29-1298","Acupuncturists and Healthcare Diagnosing or Treating Practitioners, All Other","340",355,15,0.0441,2,15,5,22,"37.450000000000003","^^^","Northeast"
"238","29-2010","Clinical Laboratory Technologists and Technicians","4351",4594,243,0.0558,24,115,166,305,"28.2",NA,"Northeast"
"239","29-2031","Cardiovascular Technologists and Technicians","822",873,51,0.062,5,23,36,64,"29.5",NA,"Northeast"
"240","29-2032","Diagnostic Medical Sonographers","1262",1438,176,0.1395,18,37,58,113,"36.06",NA,"Northeast"
"241","29-2033","Nuclear Medicine Technologists","348",368,20,0.0575,2,10,15,27,"37.479999999999997",NA,"Northeast"
"242","29-2034","Radiologic Technologists","3510",3667,157,0.0447,16,98,154,268,"29.12",NA,"Northeast"
